ID,x,y
0,1500.0,1500.0
1,2200.3709177968994,2059.440429272223
2,1401.6339708638504,2073.830743421461
3,184.14017172910258,821.35191828256
4,2811.1452798031087,1254.5594876342386
5,1680.2331905633569,1031.998953652796
6,2377.9056878841448,2511.6477805598024
7,2956.491659825796,1014.2262048352472
8,599.2125615512751,70.27362636931522
9,758.1590581491322,248.05910624048
10,986.6838359444079,2217.593189926685
11,1239.2571582880491,1943.7700274602876
12,2120.8312755595316,2957.7318044583863
13,2972.062092725398,811.9399888596048
14,2946.288797559307,321.0130270572629
15,134.15333707399836,2970.350603089127
16,574.2900452049907,2598.3192601136557
17,368.33903747397676,1903.0097243284288
18,1071.910233045893,1504.925213945281
19,786.5597513839523,2894.830203867304
20,2637.4024874895163,1065.5300030008148
21,608.0408053577414,2350.196767098862
22,1844.4369995712389,359.6226545905182
23,2497.2602133641803,598.3770730353899
24,989.6483344516644,1058.2009128638708
25,676.3919837024677,752.3864245630195
26,96.29214947114606,1297.4303155508596
27,1225.1609580682655,1.309176474142748
28,2189.182234238939,1490.8854449767134
29,2610.1238935389974,1814.8993216263923
30,403.24120142125463,1392.7704329167723
31,871.4149412995242,13.40670469906513
32,2866.7404114301366,2524.3811079831903
33,2706.1342516337163,29.895896679102975
34,1113.884243374097,475.6347661373526
35,2663.9871288011814,2779.754274752203
36,1708.9118724777002,1680.277030853952
37,1621.9707241557717,283.6327993259516
38,2449.417869012389,1496.2725662365372
39,2372.774595991461,2725.817179950035
40,366.4260894063113,1136.6205507479701
41,2495.3271991412103,1988.4136087619966
42,827.6240594107704,2662.970423875265
43,1367.1209556317858,2539.3889902512824
44,113.21449211002854,1039.9670025950609
45,1240.911907421032,770.1660998616476
46,2193.093411895793,2336.31854600421
47,1981.0891111218145,1756.880786226765
48,1894.4341102477872,2437.1065528574
49,2910.4071086347376,2241.642210891616
50,1048.6254511686107,704.0421723239957
